"Iteration"	"logProb"	"currentDecryptedText"	"correctText"
200	0.000851690484171738	"qyky nx i xizlmy eyce"	0
201	0.000851690484171738	"qyky nx t xtzlmy eyce"	0
202	0.000851690484171738	"oyky nx t xtzlmy eyce"	0
203	0.000851690484171738	"oyky nx t xtzlmy eywe"	0
204	0.000851690484171738	"vyky nx t xtzlmy eywe"	0
205	0.000851690484171738	"cyky nx t xtzlmy eywe"	0
206	0.000851690484171738	"cyky nx t xtzlmy eywe"	0
207	0.000851690484171738	"cbkb nx t xtzlmb ebwe"	0
208	0.000851690484171738	"cbkb nx t xtzlmb fbwf"	0
209	0.000851690484171738	"cbkb nx t xtzlmb fbwf"	0
210	0.000851690484171738	"cbkb nx t xtzlmb fbwf"	0
211	0.000851690484171738	"cbkb nx t xtzlmb fbwf"	0
212	0.000851690484171738	"cpkp nx t xtzlmp fpwf"	0
213	0.000851690484171738	"cpkp nx t xtzlmp fpwf"	0
214	0.000851690484171738	"cpkp nx q xqzlmp fpwf"	0
215	0.000851690484171738	"cpkp ne q eqzlmp fpwf"	0
216	0.000851690484171738	"cpkp re q eqzlmp fpwf"	0
217	0.000851690484171738	"cpkp re q eqvlmp fpwf"	0
218	0.000851690484171738	"cpvp re q eqklmp fpwf"	0
219	0.000851690484171738	"cpvp re q eqklmp fpwf"	0
220	0.000851690484171738	"cpvp re q eqklmp upwu"	0
221	0.000851690484171738	"ckvk re q eqplmk ukwu"	0
222	0.000851690484171738	"ckvk re q eqpomk ukwu"	0
223	0.000851690484171738	"bkvk re q eqpomk ukwu"	0
224	0.000851690484171738	"bkvk re q eqfomk ukwu"	0
225	0.000851690484171738	"bkvk re q eqfomk gkwg"	0
226	0.000851690484171738	"bkvk re q eqfonk gkwg"	0
227	0.000851690484171738	"bkvk re q eqfonk gkwg"	0
228	0.000851690484171738	"okvk re q eqfbnk gkwg"	0
229	0.000851690484171738	"okvk re q eqybnk gkwg"	0
230	0.000851690484171738	"okmk re q eqybnk gkwg"	0
231	0.000851690484171738	"okmk re q eqybnk lkwl"	0
232	0.000851690484171738	"okmk re q eqybnk lkwl"	0
233	0.000851690484171738	"okmk ra q aqybnk lkwl"	0
234	0.000851690484171738	"okmk ra q aqybnk lkwl"	0
235	0.000851690484171738	"okmk ra q aqybnk lkwl"	0
236	0.000851690484171738	"okmk ra q aqyjnk lkwl"	0
237	0.000851690484171738	"okmk ra q aqyjnk lkwl"	0
